,ItemID,ActionType,EffectID
1,Item_001,Primary,Effect_Potion_Tier1_Health
2,Item_002,Primary,Effect_Potion_Tier1_Stamina
3,Item_003,Primary,Effect_Attack_Tier1_Damage
4,Item_003,Primary,Effect_Potion_Tier1_Stamina
5,Item_003,Primary,Effect_Attack_Tier1_Damage
6,Item_004,Primary,Effect_Potion_Tier1_MaxHealth
7,Item_005,Primary,Effect_Potion_Tier1_MovementSpeed
8,Item_006,Primary,Effect_Potion_Tier1_MaxMovementSpeed
9,Item_007,Primary,Effect_Potion_Tier1_AttackPower
10,Item_008,Primary,Effect_Potion_Tier1_AttackRate
11,Item_009,Primary,Effect_Potion_Tier1_MaxStamina
